A matrix:
295.814 282.899 189.219 278.899
297.748 279.03 785.249 277.531
298.244 278.908 189.793 278.677
296.742 287.095 253.875 276.485
299.897 287.405 254.201 277.932
293.906 294.074 381.217 283.028
295.242 298.254 422.288 279.315
295.579 289.821 144.993 278.82
291.909 285.44 211.215 278.299
294.048 293.814 147.567 279.459
292.919 285.143 471.827 275.961
302.507 285.13 373.195 277.429
296.678 289.122 303.332 278.333
292.738 286.357 395.14 276.85
299.99 293.982 247.654 275.613
290.353 284.237 251.455 276.594
294.08 283.27 185.837 277.676
293.616 285.309 151.795 277.643
295.609 290.405 340.589 277.236
293.086 279.234 634.395 278.446
289.871 278.915 149.848 279.465
295.139 296.582 424.194 276.294
297.984 289.752 414.663 276.183
299.489 279.21 206.105 281.108
300.8 293.272 176.578 279.742
B matrix:
292.752 281.99 228.134 278.078
295.663 281.153 123.878 274.593
294.309 298.543 627.816 279.545
295.044 287.456 301.571 278.832
298.506 287.527 519.917 278.95
294.617 283.516 213.115 275.57
291.226 284.648 156.291 278.856
286.756 288.464 462.559 278.343
291.326 289.268 282.114 279.083
297.991 295.352 368.39 277.615
297.001 280.723 289.024 276.116
297.247 293.94 241.531 277.391
295.931 288.528 215.105 280.429
299.384 291.483 250.235 281.15
292.119 276.747 242.271 276.34
291.471 268.174 174.748 277.07
296.902 286.65 524.868 277.726
294.392 298.012 321.324 278.405
298.632 292.409 421.188 279.235
291.552 284.486 592.268 276.053
293.66 283.092 373.688 279.525
298.668 286.072 473.936 280.35
291.333 282.945 225.992 278.918
289.714 291.503 136.36 277.47
295.928 274.864 342.073 276.543
BA_0
295.814, 281.99, 228.134, 278.078
297.748, 281.153, 123.878, 274.593
298.244, 298.543, 627.816, 279.545
296.742, 287.456, 301.571, 278.832
299.897, 287.527, 519.917, 278.95
293.906, 283.516, 213.115, 275.57
295.242, 284.648, 156.291, 278.856
295.579, 288.464, 462.559, 278.343
291.909, 289.268, 282.114, 279.083
294.048, 295.352, 368.39, 277.615
292.919, 280.723, 289.024, 276.116
302.507, 293.94, 241.531, 277.391
296.678, 288.528, 215.105, 280.429
292.738, 291.483, 250.235, 281.15
